,url,stars,material
134,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-Breeze-MD/_/prod10210219,"['181', '32', '32', '27', '15']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
135,https://shop.lululemon.com/p/women-tanks/Run-Swiftly-Racerback-MD/_/prod2820001,"['813', '255', '218', '221', '220']","['58% Nylon', '38% Polyester', '4% X-static® nylon']"
136,https://shop.lululemon.com/p/tops-short-sleeve/Tee-Burnout-MD/_/prod9370360,"['2', '0', '0', '1', '0']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']"
137,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped-MD/_/prod10030005,"['47', '8', '4', '1', '1']","['89% Nylon', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']"
138,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated-MD/_/prod8980109,"['594', '127', '88', '96', '86']","['92% Pima cotton', '8% Lycra® elastane']"
139,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-MD/_/prod7030032,"['478', '114', '61', '48', '55']","['73% Nylon', '27% Xtra life lycra® elastane', '89% Nylon', '11% Elastane']"
140,https://shop.lululemon.com/p/tops-long-sleeve/Close-to-Crossing-LS-Rulu-MD/_/prod9491451,"['42', '26', '19', '19', '8']","['91% Nylon', '9% Lycra® elastane']"
141,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve-MD/_/prod9201315,"['53', '8', '7', '5', '4']","['91% Nylon', '9% Lycra® elastane', '72% Nylon', '28% Xtra life lycra® elastane']"
142,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank-Wash-MD/_/prod9980094,"['48', '9', '7', '1', '2']","['92% Pima cotton', '8% Lycra® elastane']"
143,https://shop.lululemon.com/p/tops-short-sleeve/Cates-Tee-MD/_/prod9280263,"['227', '35', '17', '17', '7']","['92% Pima cotton', '8% Lycra® elastane']"
144,https://shop.lululemon.com/p/womens-t-shirts/All-Yours-Tee-Stripe-MD/_/prod10050019,"['347', '51', '33', '33', '30']","['53% Viscose', '47% Polyester', '35% Polyester', '65% Viscose']"
145,https://shop.lululemon.com/p/women-tanks/Cinch-it-Up-Tank-Top-MD/_/prod10390331,"['17', '3', '5', '0', '2']","['92% Pima cotton', '8% Lycra® elastane']"
146,https://shop.lululemon.com/p/womens-t-shirts/Back-In-Action-Ss-MD/_/prod8850034,[],[]
147,https://shop.lululemon.com/p/tops-long-sleeve/All-Days-Shirt-MD/_/prod10300067,"['6', '2', '3', '1', '0']","['59% Polyester', '22% Cotton', '19% Lyocell']"
148,https://shop.lululemon.com/p/women-tanks/To-The-Beat-Tank-MD/_/prod9201249,"['0', '1', '2', '0', '0']",[]
149,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank-MD/_/prod6960008,"['446', '86', '65', '46', '33']","['85% Nylon', '15% Elastane', '95% Nylon', '5% Elastane', '100% Nylon']"
150,https://shop.lululemon.com/p/womens-t-shirts/Clear-Intention-Shirt-MD/_/prod9920074,"['2', '2', '2', '0', '4']",[]
151,https://shop.lululemon.com/p/tops-long-sleeve/Azal-LS-Print-MD/_/prod10260125,[],"['93% Recycled nylon', '7% Elastane']"
152,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Tank-Shibori-MD/_/prod10400618,[],"['60% Nylon', '34% Polyester', '4% Elastane', '2% X-static® nylon']"
